country,colonial_rulers
afghanistan,"United Kingdom, Russia"
angola,Portugal
bangladesh,United Kingdom
benin,France
bhutan,"United Kingdom, India"
burkina_faso,France
burundi,"Germany, Belgium"
cambodia,France
cape_verde,Portugal
central_african_republic,France
chad,France
comoros,France
djibouti,France
democratic_republic_of_congo,Belgium
equatorial_guinea,Spain
eritrea,Italy
ethiopia,
gambia,United Kingdom
guinea,France
guinea_bissau,Portugal
haiti,France
kiribati,United Kingdom
laos,France
lesotho,United Kingdom
liberia,United States
madagascar,France
malawi,United Kingdom
maldives,United Kingdom
mali,France
mauritania,France
mozambique,Portugal
myanmar,United Kingdom
nepal,
niger,France
rwanda,"Belgium, Germany"
samoa,"New Zealand, United Kingdom, Germany"
sao_tome_and_principe,Portugal
senegal,France
sierra_leone,United Kingdom
solomon_islands,United Kingdom
somalia,"United Kingdom, Italy"
sudan,"United Kingdom, Egypt"
tanzania,"United Kingdom, Germany"
togo,Germany
tuvalu,United Kingdom
uganda,United Kingdom
vanuatu,"France, United Kingdom"
yemen,United Kingdom
zambia,United Kingdom